! CMT, C1220, 16058040, 17.2.0/1
! Date: 02/08/2018 12:43:43
! Stimulus(Hz),    S21(Real),         S21(Imag)
1.00000000000E+09,-3.82940443923E-06,-4.03331843411E-06
1.00500000000E+09,-2.87943415653E-05,-3.08957869298E-05
1.01000000000E+09,+1.75133726847E-05,+1.07773791697E-05
1.01500000000E+09,+1.68122951535E-05,+1.36607378074E-05
1.02000000000E+09,+6.71088846417E-06,-5.66811256732E-06
1.02500000000E+09,-5.78939808147E-06,+4.08489067634E-06
1.03000000000E+09,+3.65158467157E-05,-2.15744494977E-05
1.03500000000E+09,-9.60481425285E-06,+1.27686005893E-05
1.04000000000E+09,+2.15056662646E-05,-1.87115340712E-05
1.04500000000E+09,+8.17115257152E-06,-3.60617109934E-05
1.05000000000E+09,-1.71912571862E-05,-4.36250808616E-05
1.05500000000E+09,+4.32818349005E-05,-1.12919021357E-05
1.06000000000E+09,-4.18486064072E-06,-2.33525045889E-05
1.06500000000E+09,-1.41096276843E-05,-8.26841571068E-06
1.07000000000E+09,-6.57367380440E-05,+6.45300013153E-06
1.07500000000E+09,-2.26683964034E-05,-1.18215125717E-05
1.08000000000E+09,-2.73622369732E-05,+4.31730420465E-06
1.08500000000E+09,+2.74195043652E-06,-1.15921075977E-05
1.09000000000E+09,-2.99218073948E-06,+1.06598102944E-05
1.09500000000E+09,+7.40545328373E-06,-1.60796770117E-05
1.10000000000E+09,-6.06659149046E-05,+4.08052074448E-05
1.10500000000E+09,-2.36177179851E-05,+2.36290292287E-05
1.11000000000E+09,-3.83459982978E-05,+4.71638374288E-05
1.11500000000E+09,-1.67504408238E-05,+4.92420462181E-05
1.12000000000E+09,+8.84317514570E-06,+6.31290247075E-05
1.12500000000E+09,-3.21132573319E-05,+7.82969975255E-05
1.13000000000E+09,+3.72557460184E-05,+4.54605174904E-05
1.13500000000E+09,+1.63011953533E-05,+4.90975495426E-05
1.14000000000E+09,+2.82494845360E-05,-1.19995504671E-05
1.14500000000E+09,-1.01518926503E-05,+4.96369115815E-05
1.15000000000E+09,+5.07616585488E-05,+5.57334580262E-05
1.15500000000E+09,+4.26100508272E-05,+3.97143282113E-05
1.16000000000E+09,+2.96481033819E-05,+6.10083369612E-05
1.16500000000E+09,-6.87507371515E-06,+5.89432532340E-05
1.17000000000E+09,+1.08886761706E-05,+1.96719925243E-05
1.17500000000E+09,+6.43986596538E-06,+8.63872422183E-05
1.18000000000E+09,+6.02028773349E-06,+6.41959813775E-05
1.18500000000E+09,+3.42322376598E-05,+8.56414267136E-05
1.19000000000E+09,+4.47438914188E-05,+4.78551410483E-05
1.19500000000E+09,+1.12433810956E-04,+4.88089444442E-05
1.20000000000E+09,+1.48989728723E-04,+3.58134259664E-05
1.20500000000E+09,+1.27554934894E-04,-3.51671666611E-05
1.21000000000E+09,+1.31504204272E-04,-7.05445312775E-05
1.21500000000E+09,+9.20852820255E-05,-4.70171096069E-05
1.22000000000E+09,+2.95608850649E-05,-1.92651223519E-06
1.22500000000E+09,+7.31603537820E-05,-7.18079580388E-05
1.23000000000E+09,+6.49089836228E-05,-4.31749255148E-05
1.23500000000E+09,+6.97601325409E-05,-8.29083806646E-05
1.24000000000E+09,+3.58997972577E-05,-9.92417431614E-05
1.24500000000E+09,+2.50665657724E-05,-9.16190144301E-05
1.25000000000E+09,+4.77837049969E-06,-1.02951912434E-04
1.25500000000E+09,-2.43929675261E-05,-1.00500609238E-04
1.26000000000E+09,-2.96601157651E-05,-1.14928489006E-04
1.26500000000E+09,-2.62621974638E-05,-1.04643667950E-04
1.27000000000E+09,+9.08116580862E-06,-9.55228847473E-05
1.27500000000E+09,-4.40959998598E-06,-1.26095749321E-04
1.28000000000E+09,-3.20390330764E-05,-5.76544074615E-05
1.28500000000E+09,-7.91491137320E-05,-9.48281017264E-05
1.29000000000E+09,-1.36890120200E-04,-6.89976501883E-05
1.29500000000E+09,-1.05601675036E-04,-9.07952156284E-05
1.30000000000E+09,-6.39101179801E-05,-4.98722147736E-05
