! CMT, C1220, 16058040, 17.2.0/1
! Date: 02/08/2018 13:15:41
! Stimulus(Hz),    S21(Real),         S21(Imag)
1.00000000000E+09,+2.04230959318E-05,+2.26657874384E-06
1.00500000000E+09,-3.23659186664E-05,-3.88043651593E-05
1.01000000000E+09,-1.44808828034E-05,-4.71593044406E-05
1.01500000000E+09,-1.22956051165E-05,+8.49398882215E-06
1.02000000000E+09,-3.01289310784E-05,+2.05841627422E-06
1.02500000000E+09,+1.68891362880E-05,-2.40336504852E-05
1.03000000000E+09,-3.16833346143E-05,-2.40166532308E-05
1.03500000000E+09,-3.76965591998E-05,+2.19385437041E-05
1.04000000000E+09,-2.48232390413E-06,+1.04234035154E-05
1.04500000000E+09,-5.64210236067E-06,+1.98365026804E-05
1.05000000000E+09,-2.00549054004E-05,+2.27211998519E-06
1.05500000000E+09,+2.42739019495E-06,-2.59727458796E-05
1.06000000000E+09,-1.44366954412E-05,+6.40488005793E-06
1.06500000000E+09,+2.35128500105E-05,-1.18133298238E-05
1.07000000000E+09,-2.97943476790E-05,+5.89788271731E-06
1.07500000000E+09,-3.72886736379E-05,-5.67684292799E-06
1.08000000000E+09,-5.93290415290E-05,+2.01846233344E-05
1.08500000000E+09,-4.00070491935E-05,-4.98787870070E-06
1.09000000000E+09,-1.70166916332E-05,-1.89329656696E-05
1.09500000000E+09,-3.72523556190E-05,+2.10403724674E-05
1.10000000000E+09,+4.85545111567E-05,+4.80318873743E-05
1.10500000000E+09,-1.69855736835E-05,+1.65902596111E-05
1.11000000000E+09,-2.91118927241E-06,+2.69018357810E-05
1.11500000000E+09,-8.49498511661E-06,+3.19852888865E-05
1.12000000000E+09,-1.81632711084E-05,+3.81195156447E-05
1.12500000000E+09,+1.06230276743E-05,+1.54330548793E-06
1.13000000000E+09,-2.30292780050E-05,+3.09117787147E-05
1.13500000000E+09,-1.93564063436E-05,-1.86725295801E-05
1.14000000000E+09,-1.04034544401E-05,+3.30339602718E-05
1.14500000000E+09,+3.06803494153E-06,+3.13146168393E-05
1.15000000000E+09,-1.30777292501E-06,-1.37642983612E-05
1.15500000000E+09,-1.09758315051E-05,+1.18087610624E-05
1.16000000000E+09,+8.07128459181E-06,+3.93827305029E-05
1.16500000000E+09,+9.96209684078E-06,+9.11000077962E-06
1.17000000000E+09,+5.45950569974E-07,+9.80310641975E-06
1.17500000000E+09,+3.27912769648E-05,+1.96076193490E-05
1.18000000000E+09,+4.59919209688E-05,+2.80178924083E-05
1.18500000000E+09,+2.85968595439E-06,+2.34594766932E-05
1.19000000000E+09,+5.24665229304E-05,+1.89079463080E-05
1.19500000000E+09,+3.62086335234E-05,+5.05170183323E-05
1.20000000000E+09,+8.02469007024E-05,+3.68523964866E-05
1.20500000000E+09,+1.10880297648E-04,-1.60359557599E-05
1.21000000000E+09,+7.47467544709E-05,-4.56028473960E-05
1.21500000000E+09,+2.32769519835E-05,-2.52079902037E-05
1.22000000000E+09,+1.06273507837E-05,+1.25401597338E-05
1.22500000000E+09,+3.05013792790E-05,-5.09001091085E-05
1.23000000000E+09,+4.61434968015E-05,-5.21871302365E-05
1.23500000000E+09,+3.66867316411E-05,-5.87716427092E-05
1.24000000000E+09,+5.29252209806E-05,-2.08838774419E-05
1.24500000000E+09,+8.51567210294E-06,-1.13232312819E-05
1.25000000000E+09,+3.84614848985E-05,-5.58415446705E-05
1.25500000000E+09,+1.61228137655E-05,-5.24983733002E-05
1.26000000000E+09,+7.19555762117E-05,-2.39411617746E-05
1.26500000000E+09,+5.26603965664E-05,-9.15152794286E-05
1.27000000000E+09,+5.80297784858E-06,-6.55604725799E-05
1.27500000000E+09,+1.40254467559E-05,-7.83631787664E-05
1.28000000000E+09,-1.39093090632E-05,-8.79869067724E-05
1.28500000000E+09,-2.58416632079E-06,-3.73365674546E-05
1.29000000000E+09,-3.21129572352E-05,-6.85904803778E-05
1.29500000000E+09,-3.47290178227E-06,-6.77072834199E-05
1.30000000000E+09,-6.14672034515E-05,-7.58206960917E-05
1.30500000000E+09,-5.92009586046E-05,-5.01616229673E-05
1.31000000000E+09,-3.15178702637E-05,-5.00869920341E-05
1.31500000000E+09,-5.35982697964E-05,-5.13886613316E-05
1.32000000000E+09,-8.22314648905E-05,-3.86807593000E-05
1.32500000000E+09,-7.57811179962E-05,-1.73355825904E-05
1.33000000000E+09,+2.17417802240E-05,-2.35235375364E-05
1.33500000000E+09,-3.93781981780E-05,-8.53213694188E-05
1.34000000000E+09,-9.51681344813E-05,-6.71384487042E-05
1.34500000000E+09,-7.04704831576E-05,-7.76668919908E-05
1.35000000000E+09,-1.74774267033E-04,-7.21166370878E-05
1.35500000000E+09,-1.29563227056E-04,+1.59458582052E-05
1.36000000000E+09,-1.37404377319E-04,+3.45696887405E-05
1.36500000000E+09,-1.05616826285E-04,-1.56499074669E-05
1.37000000000E+09,-1.37289921826E-04,-3.55665363047E-05
1.37500000000E+09,-2.13883051773E-04,-4.61294342398E-06
1.38000000000E+09,-3.17627650962E-04,+9.49951745498E-05
1.38500000000E+09,-2.19117903160E-04,+1.65227074309E-04
1.39000000000E+09,-1.67924512081E-04,+2.04890596514E-04
1.39500000000E+09,-1.67525431936E-04,+1.57080522397E-04
1.40000000000E+09,-1.70674608473E-04,+1.35652793525E-04
1.40500000000E+09,-2.29263276362E-04,+2.36218184739E-04
1.41000000000E+09,-2.79143436201E-04,+3.41398842074E-04
1.41500000000E+09,-1.76442673763E-04,+4.25154573166E-04
1.42000000000E+09,-9.66385658385E-05,+4.86991624387E-04
1.42500000000E+09,-4.63542408634E-05,+4.53471549804E-04
1.43000000000E+09,-4.09506175770E-05,+5.83043298928E-04
1.43500000000E+09,+1.96433911814E-04,+6.62428040486E-04
1.44000000000E+09,+4.42836583815E-04,+6.28954797404E-04
1.44500000000E+09,+5.58470768429E-04,+4.10685512787E-04
1.45000000000E+09,+4.79940325649E-04,+4.35750821006E-04
1.45500000000E+09,+5.34281100543E-04,+5.23929343131E-04
1.46000000000E+09,+7.06342375423E-04,+7.35911255464E-04
1.46500000000E+09,+1.36353529693E-03,+5.98591148952E-04
1.47000000000E+09,+1.68192762794E-03,-4.32355368249E-05
1.47500000000E+09,+1.68544522419E-03,-7.61546616411E-04
1.48000000000E+09,+1.13549840772E-03,-1.11129772669E-03
1.48500000000E+09,+6.55574931711E-04,-9.21777355901E-04
1.49000000000E+09,+1.25157780030E-03,-8.73803807627E-04
1.49500000000E+09,+1.05207796410E-03,-2.07047616710E-03
1.50000000000E+09,-1.19673838197E-04,-2.38590634765E-03
1.50500000000E+09,-6.09605207246E-04,-1.99531263073E-03
1.51000000000E+09,-1.38398299344E-03,-1.67128472631E-03
1.51500000000E+09,-1.49023832770E-03,-9.43161917941E-04
1.52000000000E+09,-1.27645423554E-03,-7.24220967646E-04
1.52500000000E+09,-1.83964985738E-03,-6.21135630674E-04
1.53000000000E+09,-1.89540890689E-03,+7.42286359619E-05
1.53500000000E+09,-1.22171528834E-03,+7.92713082460E-04
1.54000000000E+09,-1.04408240467E-03,+2.95008301447E-04
1.54500000000E+09,-1.26332245418E-03,+8.95140855607E-04
1.55000000000E+09,-7.23644537428E-04,+8.23622666166E-04
1.55500000000E+09,-6.01377719240E-04,+8.08697850494E-04
1.56000000000E+09,-5.57968435570E-04,+1.11190788242E-03
1.56500000000E+09,+2.72967676994E-05,+1.01967460715E-03
1.57000000000E+09,-3.71730447142E-05,+5.57260040324E-04
1.57500000000E+09,-1.73352386236E-04,+6.18274154796E-04
1.58000000000E+09,-1.76881184628E-04,+9.53487586011E-04
1.58500000000E+09,+1.20636004846E-04,+9.81917629739E-04
1.59000000000E+09,+3.41799520657E-04,+9.70170046138E-04
1.59500000000E+09,+5.36839397558E-04,+6.92512392649E-04
1.60000000000E+09,+6.83039838157E-04,+5.73759473158E-04
1.60500000000E+09,+6.91505152217E-04,+4.52600969700E-04
1.61000000000E+09,+7.50788277604E-04,+2.41326798039E-04
1.61500000000E+09,+6.72884677289E-04,+2.54263245920E-05
1.62000000000E+09,+5.30456103308E-04,-1.58383304787E-04
1.62500000000E+09,+3.22091449786E-04,+7.63951887146E-05
1.63000000000E+09,+5.10183790725E-04,+1.91745591977E-04
1.63500000000E+09,+6.64915431110E-04,+1.71249850320E-05
1.64000000000E+09,+6.55636258083E-04,-2.15558211346E-04
1.64500000000E+09,+4.93148843336E-04,-4.21315646548E-04
1.65000000000E+09,+2.58686761114E-04,-3.39044528780E-04
1.65500000000E+09,+2.07821038854E-04,-2.20627281760E-04
1.66000000000E+09,+3.56366183231E-04,-2.29835090364E-04
1.66500000000E+09,+3.50944204444E-04,-3.29624716308E-04
1.67000000000E+09,+2.29852557828E-04,-4.01020541075E-04
1.67500000000E+09,+1.17907697963E-04,-4.31670953689E-04
1.68000000000E+09,+9.84710989561E-05,-3.96799021848E-04
1.68500000000E+09,+5.63881844558E-05,-4.49727054513E-04
1.69000000000E+09,-1.31710050736E-05,-4.33816477994E-04
1.69500000000E+09,-1.07730774204E-04,-3.82883873010E-04
1.70000000000E+09,-1.31602395251E-04,-3.72194765786E-04
1.70500000000E+09,-1.82252323720E-04,-3.52729976528E-04
1.71000000000E+09,-1.88479438853E-04,-3.20044231354E-04
1.71500000000E+09,-2.52131282321E-04,-3.13891087987E-04
1.72000000000E+09,-3.41446472135E-04,-2.74533731736E-04
1.72500000000E+09,-3.47552185507E-04,-1.46095037145E-04
1.73000000000E+09,-3.80767556029E-04,-8.97838595326E-05
1.73500000000E+09,-3.08937716786E-04,-2.28202732464E-05
1.74000000000E+09,-3.02283774449E-04,-1.83721042721E-05
1.74500000000E+09,-2.77756161730E-04,+1.08790162556E-05
1.75000000000E+09,-2.64525914341E-04,+5.07939545764E-05
1.75500000000E+09,-2.38570735707E-04,+1.38855166937E-04
1.76000000000E+09,-2.05456703308E-04,+1.00645750282E-04
1.76500000000E+09,-2.11425193362E-04,+1.30262587059E-04
1.77000000000E+09,-1.75612803383E-04,+9.06684277846E-05
1.77500000000E+09,-1.53439191955E-04,+1.64415641962E-04
1.78000000000E+09,-1.17352095886E-04,+1.85779128744E-04
1.78500000000E+09,-1.28358017848E-04,+1.56648868055E-04
1.79000000000E+09,-6.32132947790E-05,+2.11128920651E-04
1.79500000000E+09,-5.02978186541E-05,+1.94002263714E-04
1.80000000000E+09,-7.64412871330E-05,+2.25472771181E-04
1.80500000000E+09,-1.33730530012E-04,+1.76216849852E-04
1.81000000000E+09,-7.24136169648E-05,+1.24017321782E-05
1.81500000000E+09,-8.36231378213E-05,+1.90729653947E-04
1.82000000000E+09,-3.42906042656E-05,+1.72653857405E-04
1.82500000000E+09,+9.90346588659E-05,+2.06980910779E-04
1.83000000000E+09,+1.64686512930E-05,-1.08483000016E-05
1.83500000000E+09,+2.86548523941E-05,+1.25127623919E-04
1.84000000000E+09,+2.05419359429E-05,+1.06022942737E-04
1.84500000000E+09,+1.02218958330E-04,+1.52055884884E-04
1.85000000000E+09,+7.56232031422E-05,+1.35801471290E-04
1.85500000000E+09,+1.42691088118E-04,+1.54730818643E-04
1.86000000000E+09,+9.55954358301E-05,+1.51063804615E-04
1.86500000000E+09,+1.27789186104E-04,+6.16945860711E-05
1.87000000000E+09,+1.31587410336E-04,+5.59744390780E-05
1.87500000000E+09,+2.04958388398E-04,+9.71772194437E-05
1.88000000000E+09,+1.67232514110E-04,+3.51677746853E-05
1.88500000000E+09,+1.59066938248E-04,-3.90300371771E-05
1.89000000000E+09,+9.04765154571E-05,-4.42350039811E-05
1.89500000000E+09,+1.22940038075E-04,-2.31514093817E-05
1.90000000000E+09,+9.25061865403E-05,-4.63883931035E-05
1.90500000000E+09,+9.23446966867E-05,-5.43960552483E-05
1.91000000000E+09,+1.37590958381E-04,-7.66221762994E-05
1.91500000000E+09,+1.19347672868E-04,-7.91341384253E-05
1.92000000000E+09,+6.53058661087E-05,-8.17669914098E-05
1.92500000000E+09,+3.94378356077E-05,-1.03569120249E-04
1.93000000000E+09,+1.72065442802E-05,-9.27204545684E-05
1.93500000000E+09,+7.45972397801E-06,-8.60157796094E-05
1.94000000000E+09,+1.28357148051E-05,-1.05699777075E-04
1.94500000000E+09,+1.96741957292E-05,-8.38999469126E-05
